;<hmm name>;;;
#=ID;7tm_1;(Pfam);7tm_1_LIG_2-0;(PLoS_CB_2010)
#=ID;7tm_1;(Pfam);7tm_1_LIG_2-1;(PLoS_CB_2010)
#=ID;HEAT_2;(Pfam);HEAT_2_LIG_2-0;(PLoS_CB_2010)
#=ID;Rab5-bind;(Pfam);Rab5-bind_LIG_0-0;(PLoS_CB_2010)
#=ID;Rab5-bind;(Pfam);Rab5-bind_LIG_0-1;(PLoS_CB_2010)
#=ID;CDC48_2;(Pfam);CDC48_2_LIG_1-0;(PLoS_CB_2010)
#=ID;HEAT_2;(Pfam);HEAT_2_LIG_0-1;(PLoS_CB_2010)
#=ID;HEAT_2;(Pfam);HEAT_2_LIG_0-0;(PLoS_CB_2010)
#=ID;HEAT_2;(Pfam);HEAT_2_LIG_0-4;(PLoS_CB_2010)
#=ID;Aminotran_5;(Pfam);Aminotran_5_LIG_0-1;(PLoS_CB_2010)
#=ID;Aminotran_5;(Pfam);Aminotran_5_LIG_0-0;(PLoS_CB_2010)
#=ID;IRS;(Pfam);IRS_LIG_0-0;(PLoS_CB_2010)
#=ID;IRS;(Pfam);IRS_LIG_0-1;(PLoS_CB_2010)
#=ID;DNA_pol3_beta_2;(Pfam);DNA_pol3_beta_2_LIG_2-1;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_2-5;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_2-7;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_2-1;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_2-6;(PLoS_CB_2010)
#=ID;Peptidase_S8;(Pfam);Peptidase_S8_LIG_2-0;(PLoS_CB_2010)
#=ID;PTCB-BRCT;(Pfam);PTCB-BRCT_LIG_0-1;(PLoS_CB_2010)
#=ID;PTCB-BRCT;(Pfam);PTCB-BRCT_LIG_0-0;(PLoS_CB_2010)
#=ID;CTD_bind;(Pfam);CTD_bind_LIG_2-0;(PLoS_CB_2010)
#=ID;JmjC;(Pfam);JmjC_LIG_0-0;(PLoS_CB_2010)
#=ID;JmjC;(Pfam);JmjC_LIG_0-14;(PLoS_CB_2010)
#=ID;CAF1C_H4-bd;(Pfam);CAF1C_H4-bd_LIG_2-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_4-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_4-1;(PLoS_CB_2010)
